# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8,Endmember_9,Endmember_10
6.214909999999999854e+02,1.316074146900975822e-02,-8.804652154651910253e-04,3.775675295057480223e-03,4.234670995434292561e-03,4.434572740150599136e-03,2.366100697699972770e-03,-1.658503403326778416e-03,1.968337534149867691e-03,-1.193380102430999625e-03,-1.259473338267010209e-03
6.242699999999999818e+02,1.279940765332168197e-02,1.986498841549123092e-03,1.799608473289962540e-02,1.165896720037960105e-02,5.948349136003602822e-03,-2.536214767228754663e-04,-4.690886979091576925e-03,5.203788065095591234e-03,1.601349430424963208e-02,-3.936456830637212294e-04
6.270480000000000018e+02,1.396204126117185119e-02,1.082336008215915293e-03,1.018122544669004814e-02,4.380508303782509535e-03,7.072119840267896036e-03,-3.116872757758746941e-03,-2.985977230627242032e-03,5.082848595867418828e-03,1.869557292151213801e-02,-1.873713717268483264e-03
6.298250000000000455e+02,1.299636284095103365e-02,1.288274921382849634e-03,-1.247501602538366935e-02,3.885041983744671763e-03,4.092407639787452346e-03,-4.223219030414918258e-03,-2.131373001680742559e-03,1.526353549267849994e-03,1.508167904838046344e-02,-3.113697108455588600e-03
6.326009999999999991e+02,1.079057892445258598e-02,-1.334403225755363903e-03,-1.856116432533654395e-02,1.108080643026262881e-03,3.478452847637522605e-03,-2.750948781557697054e-03,-3.876953023006975488e-03,-2.039231254655548349e-04,4.817938266154920060e-03,-2.184779510233996955e-03
6.353759999999999764e+02,1.378811902493965250e-02,-1.848139479951924286e-03,-4.043018693823943396e-03,2.330382342111319508e-03,3.212458838246946315e-03,-1.028407022265512928e-04,-5.898801526721581673e-03,5.635883311342506198e-04,3.879432620514019006e-03,-2.332078826136897189e-03
6.381499999999999773e+02,1.036466404823978629e-02,6.430372339966955583e-04,-3.134555374524299401e-03,-5.825762073074134371e-03,7.001237029893163898e-03,1.618254391253814463e-03,-4.540343082277542922e-03,1.907557268622802216e-03,1.279106772360738900e-02,-3.648121552283823538e-03
6.409239999999999782e+02,9.535050815998863741e-03,1.042999331209978030e-03,-5.234754837580508739e-03,2.176641931734792177e-03,8.186341391203824300e-03,9.083269966459262598e-04,-2.235756594464225443e-06,1.542679603607065731e-03,1.305065920299615725e-02,-3.540365730267377130e-03
6.436960000000000264e+02,1.541241734525070420e-02,-6.072970924961692760e-04,-8.961632827085195228e-04,5.783906709491372887e-03,5.600406139765994398e-03,5.231117316555209534e-03,4.130396258358254649e-04,2.659214221800685913e-03,5.045069847021025483e-03,-2.528878016725055397e-03
6.464679999999999609e+02,2.133920923431822936e-02,-1.071778431299191467e-03,1.066886253360505542e-02,1.092575250640440143e-02,4.219403025772232481e-04,8.694882057466074565e-03,-1.359476563398166749e-03,3.065227033408056932e-03,3.500034464498380255e-04,-1.838753015907808753e-03
6.492380000000000564e+02,1.341535581525097644e-02,5.626049860424056810e-03,5.025697567833182361e-03,8.467856377116965427e-03,4.347562865101940732e-03,8.415900230612088917e-03,-5.888860375143353115e-03,2.099617228841055717e-03,1.314225930740051465e-02,-7.336610479726441217e-04
6.520080000000000382e+02,8.149285934487184718e-03,5.148784269873411812e-03,-1.505240999013063817e-04,2.339082759021201934e-03,7.905754648605441137e-03,5.074581756010589084e-03,-6.452710261583508716e-03,-1.666141937899211310e-03,1.214687613074374485e-02,-2.032603466071833485e-03
6.547770000000000437e+02,1.218151066680283647e-02,-1.533658428092336129e-03,2.122545281977873330e-03,-7.979019336515567537e-03,6.416920622667587198e-03,6.092159850959264628e-03,-5.440231612692312049e-03,-5.077707528671454584e-03,7.502354614322154919e-04,-5.536097696557943509e-03
6.575449999999999591e+02,1.693525995635028480e-02,-7.261288312847795703e-03,5.118087217315037823e-03,-7.823319144787350965e-03,5.660772306806670026e-03,8.030036009358686513e-03,-2.812542409692154240e-03,-7.021549025749165146e-03,-1.194887638575420179e-02,-7.882020778353289805e-03
6.603120000000000118e+02,1.445300101065216669e-02,-3.050796740773143063e-03,1.434133351982344248e-02,-9.512658209773854762e-03,9.090491117970412108e-03,8.535747851803693331e-03,8.731941307604152878e-04,-2.442310250730950812e-03,-1.167130844125505986e-03,-7.066528082965287290e-03
6.630779999999999745e+02,1.693178904568957283e-02,1.992983933476123910e-03,1.455875488880100689e-02,-6.573103000513795015e-04,1.094098582010006974e-02,9.404171348768700783e-03,3.423127168091249020e-03,4.600823029915476758e-03,1.169176513972130550e-02,-4.563701256372088358e-03
6.658440000000000509e+02,2.104390222102850427e-02,5.938158357200982139e-03,7.413710691845052173e-03,-8.447182226508217692e-04,1.182352688145230785e-02,1.222473811840972882e-02,6.801896315362080184e-03,7.639456404467750289e-03,1.740732632304895292e-02,-1.155411114861568458e-03
6.686079999999999472e+02,1.779437928740992478e-02,1.110477680296157940e-02,-4.114786968181828597e-04,2.660712666532062155e-03,1.403321876850630208e-02,1.261559437387072338e-02,3.746949975375582671e-03,5.411478023970722057e-03,1.838673505370563149e-02,2.710841264803837136e-03
6.713719999999999573e+02,8.361457027134523018e-03,1.301245739829014897e-02,-1.314448793054132959e-03,1.230296664683728711e-04,1.044219487846090137e-02,1.564754026412868565e-02,3.426554993411360175e-03,5.114322692219100755e-03,2.513756825549145688e-02,2.786666129276390083e-03
6.741340000000000146e+02,9.761879192686865811e-03,1.041340994357668748e-02,7.996932643219425638e-03,7.144618071957199897e-03,3.020207378559770350e-03,1.888394682892737333e-02,1.017924212944258493e-03,2.700914815068229061e-03,2.017361588786795168e-02,5.587820882597535274e-04
6.768959999999999582e+02,1.628699372597880446e-02,6.860178554302816083e-03,7.700918683428457229e-03,-3.068661180884225872e-03,1.911010881314833274e-03,2.172162520716007517e-02,5.570069990401575397e-04,-6.827125291243864823e-04,5.699966264918532310e-03,-2.936724219841843012e-03
6.796570000000000391e+02,1.703836530330529730e-02,9.910234409980164805e-03,2.012000439009574253e-03,1.459745557026252954e-03,5.575308049651235554e-03,1.557692785605801003e-02,-8.343149633472128276e-04,-3.070833414888523086e-03,6.921465925098031075e-03,-5.148469244734461998e-03
