# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
4.672559999999999718e+02,1.077566769662046675e-01,3.927237996808007059e-02,2.095754616408972149e-02,6.782767597327236941e-02,3.860088063830580118e-02,2.469291742062220546e-02,5.831434681766504979e-02,5.361546908113322407e-03
4.700849999999999795e+02,1.022589731031169347e-01,3.696752796954089898e-02,1.989408917417598635e-02,5.822029241132404415e-02,3.239082036421424282e-02,2.247558988305484520e-02,5.248033287242546280e-02,2.486657843153702863e-03
4.729139999999999873e+02,1.007790202364040322e-01,3.284376695222639142e-02,1.915353075792516208e-02,4.495844857935581140e-02,1.783480646604398631e-02,2.185224749564053034e-02,4.803209233432877145e-02,2.599179312554197874e-03
4.757409999999999854e+02,9.579011714638779873e-02,3.066445602463200096e-02,1.668416083570462005e-02,4.483596112357851604e-02,1.202325668288061616e-02,1.942322329433974343e-02,4.766883534196229844e-02,5.708313366486923723e-03
4.785670000000000073e+02,9.628535034311569429e-02,3.102322589501146921e-02,1.570906053789835125e-02,5.052140241342160942e-02,1.340724330399903005e-02,1.905146426350740052e-02,5.006961017290691152e-02,1.114524271990877460e-02
4.813919999999999959e+02,9.925812723921509373e-02,3.462954390627744072e-02,1.681562255828143032e-02,5.969352890366639436e-02,2.790742513468564417e-02,1.905503368167122194e-02,5.521380494103464431e-02,1.110317529616419371e-02
4.842169999999999845e+02,1.020537104206371837e-01,3.549503606564263780e-02,1.725968102991771308e-02,6.350176368726882792e-02,3.475110817835308508e-02,2.052686550170630328e-02,5.986903753519783739e-02,7.180978757032999843e-03
4.870400000000000205e+02,1.013357433620105663e-01,3.585200307314075768e-02,1.585127394230019526e-02,6.949612213216165013e-02,3.635959966640901764e-02,2.130602970361119425e-02,5.922344504548379684e-02,3.372577923387173882e-03
4.898629999999999995e+02,9.857105107733471483e-02,3.381725711600384876e-02,1.542706403891013628e-02,6.359596227437212812e-02,2.959267016447962931e-02,2.087347221736526176e-02,5.343379605717393788e-02,6.167315290745153250e-03
4.926840000000000259e+02,9.452113573746312447e-02,3.065065170713802620e-02,1.595556683654784577e-02,4.308818894169251512e-02,1.539069442843462102e-02,2.019975008720136661e-02,4.566768145232679571e-02,5.439459790148416102e-03
