# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance
1.500000000000000000e+01,0.000000000000000000e+00,5.022119730710983276e-02,5.538450479507446289e-01,1.204379796981811523e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.407395094633102417e-01,6.474530696868896484e-02,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,5.006885156035423279e-02,6.398476958274841309e-01,5.104074254631996155e-02,0.000000000000000000e+00,2.750018378719687462e-03,2.589478194713592529e-01,1.761366613209247589e-02,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,4.602064937353134155e-02,6.064900159835815430e-01,2.055675834417343140e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.455267816781997681e-01,2.357929199934005737e-02,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,4.775108024477958679e-02,6.536779403686523438e-01,9.929708391427993774e-02,0.000000000000000000e+00,2.329440787434577942e-02,1.604380309581756592e-01,4.112281277775764465e-02,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,4.662966355681419373e-02,7.074913978576660156e-01,8.547062985599040985e-03,0.000000000000000000e+00,5.764862149953842163e-02,1.698230952024459839e-01,2.873793058097362518e-02,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.693987965583801270e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.146804326912388206e-04,1.785203814506530762e-02,4.858438915107399225e-04,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.075472116470336914e-01,8.854981511831283569e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.684893369674682617e-02,1.150167174637317657e-02,2.765762433409690857e-02
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.068167924880981445e-01,1.270868629217147827e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.276422142982482910e-01,3.851166367530822754e-02,6.986396387219429016e-03
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.188475251197814941e-01,9.413315355777740479e-02,0.000000000000000000e+00,3.155395761132240295e-02,2.435230314731597900e-01,8.073246479034423828e-02,5.348936840891838074e-02
2.400000000000000000e+01,0.000000000000000000e+00,5.425841081887483597e-03,4.876591563224792480e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.497976392507553101e-02,3.287721574306488037e-01,6.750398874282836914e-02,7.934033125638961792e-02
